fertilizer_vol,farm_size,planting_density,yield
50,74,259,3.5
51,91,366,4.021978022
52,78,319,4.08974359
53,109,500,4.587155963
54,99,425,4.292929293
55,109,554,5.082568807
56,132,668,5.060606061
57,110,461,4.190909091
58,158,823,5.208860759
59,137,766,5.591240876
60,136,871,6.404411765
61,169,812,4.804733728
62,131,1097,8.374045802
63,137,1039,7.583941606
64,126,670,5.317460317
65,141,841,5.964539007
66,109,636,5.834862385
67,160,1218,7.6125
68,152,1020,6.710526316
69,171,1203,7.035087719
70,171,1560,9.122807018
71,167,1064,6.371257485
72,141,1192,8.453900709
73,187,1235,6.604278075
74,196,1850,9.43877551
75,223,1784,8
76,246,2114,8.593495935
77,241,2172,9.012448133
78,251,2082,8.294820717
79,210,2100,10
80,252,2261,8.972222222
81,258,1986,7.697674419
82,233,1815,7.789699571
83,223,2434,10.91479821
84,230,2533,11.01304348
85,232,2099,9.047413793
